"Group.1","Group.2","Experiment"
24,7,"IS inheritance"
59,23,"IS inheritance"
75,15,"IS inheritance"
75,10,"IS inheritance"
65,20,"IS inheritance"
85,7,"IS inheritance"
68,3,"IS inheritance"
68,27,"IS inheritance"
75,22,"IS inheritance"
53,14,"IS inheritance"
23,1,"IS inheritance"
61,9,"IS inheritance"
61,21,"IS inheritance"
66,14,"IS inheritance"
1,10,"IS Gresistance"
9,32,"IS Gresistance"
6,38,"IS Gresistance"
2,30,"IS Gresistance"
9,28,"IS Gresistance"
4,49,"IS Gresistance"
2,39,"IS Gresistance"
9,38,"IS Gresistance"
6,43,"IS Gresistance"
5,25,"IS Gresistance"
1,14,"IS Gresistance"
2,35,"IS Gresistance"
8,34,"IS Gresistance"
6,40,"IS Gresistance"
4,4,"IS embryo"
4,8,"IS embryo"
12,4,"IS embryo"
11,8,"IS embryo"
8,8,"IS embryo"
13,3,"IS embryo"
9,4,"IS embryo"
6,8,"IS embryo"
8,13,"IS embryo"
11,8,"IS embryo"
2,2,"IS embryo"
7,2,"IS embryo"
8,8,"IS embryo"
13,5,"IS embryo"
